FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,geometry
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d33,Centrale,Tchamba,Tchamba 1,Affem,"MULTILINESTRING ((1.4706663826837425 9.121800357300478, 1.470671112325856 9.121823706444559, 1.4706829364311387 9.121858730157813, 1.4706782067890252 9.121900758609181, 1.470685301252195 9.121940452142038, 1.4706829364311382 9.121982480583782))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d34,Centrale,Blitta,Blitta 1,Yaloumbè,"MULTILINESTRING ((1.1008366666666667 8.282486666666667, 1.1011950000000001 8.282641666666667, 1.1015233333333332 8.282558333333332, 1.101515 8.282476666666668, 1.101235 8.282091666666668, 1.1009166666666668 8.28224))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d35,Centrale,Tchamba,Tchamba 1,Affem,"MULTILINESTRING ((1.5408162458924812 9.130815147562632, 1.5409360929465525 9.13074415050092, 1.541111868625857 9.130759927626965, 1.5411677972510907 9.130787537595868))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d36,Centrale,Blitta,Blitta 1,Blitta-Village,"MULTILINESTRING ((0.9984110062742952 8.393747525595577, 0.9985266162647919 8.393677725270127, 0.9985954722150143 8.393633994939353, 0.9987297838216206 8.39360203815606, 0.9988759964566605 8.39356671749778, 0.9988793967504983 8.39356671749778, 0.9989865060063997 8.393572604274382, 0.9990834143807867 8.393720614628215, 0.9990851145277058 8.393722296563732, 0.9991114668049513 8.393804711395031, 0.9991343294318635 8.393875594794078, 0.9991709438420143 8.393982944191958, 0.9992242011658703 8.394121247053453, 0.999239512646479 8.39416142073256, 0.9990577720288203 8.394255598357452, 0.9989965261063859 8.394287210422224, 0.9988913428917702 8.39431816389982, 0.998837419851366 8.394332652760827, 0.9987695167634496 8.394366899157417, 0.9986803107459907 8.394409707148908))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d37,Centrale,Sotouboua,Sotouboua 3,Bodjondè,"MULTILINESTRING ((0.9929221459639974 8.471031902919922, 0.9929054108262837 8.47032565949029))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d38,Kara,Dankpen,Dankpen 1,Guérin-Kouka,"MULTILINESTRING ((0.4397117060336727 9.675265419684026, 0.4402826761870893 9.675186667176325))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d39,Kara,Bassar,Bassar 1,Bassar,"MULTILINESTRING ((0.7630384271304617 9.22404578280404, 0.7611799677018312 9.223812206511383, 0.7606778373593132 9.223891964287239))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d3a,Kara,Kéran,Kéran 1,Pessidè,"MULTILINESTRING ((1.0088316666666666 9.9759, 1.008595 9.976035, 1.0085466666666667 9.97632, 1.0085816666666667 9.97648, 1.0085933333333335 9.976596666666667, 1.00888 9.976735, 1.008945 9.976840000000001))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d3b,Kara,Bassar,Bassar 2,Dimori,"MULTILINESTRING ((0.6168152065977381 9.024532872705638, 0.6171769647576888 9.023080699246405, 0.6165894474925314 9.02187665799422))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d3c,Kara,Bassar,Bassar 1,Baghan,"MULTILINESTRING ((0.6739709032007497 9.065756908859736, 0.6733492844658705 9.065481733016217, 0.6731563683067698 9.065217140660131, 0.6731992385643478 9.064264606564038, 0.6741316666666667 9.063216816140406, 0.6746782624507845 9.063227399897341, 0.6750212245114076 9.063449658720923, 0.6750426596401965 9.064465697305817, 0.6759322174849374 9.065481733016215, 0.6759322174849373 9.065936831412632, 0.6757821715834146 9.066032084492377, 0.6750748123333794 9.065852161987205, 0.6747532854015453 9.066328427245537, 0.6746996975795732 9.066360178240298, 0.6744424760341058 9.066434263883824, 0.6742174071818221 9.065968582442022, 0.6740459261515105 9.065756908859736, 0.6739709032007491 9.065703990444664, 0.6739709032007491 9.06572515781163, 0.6739709032007491 9.06572515781163, 0.6739816207651437 9.06572515781163))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d3d,Kara,Bassar,Bassar 1,Kalanga,"MULTILINESTRING ((0.646193267856322 9.286472533755402, 0.6461015735883854 9.286419444813061, 0.6460710088324065 9.286316886606215, 0.6461150220810162 9.286252938532634))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d3e,Kara,Assoli,Assoli 3,Soudou,"MULTILINESTRING ((1.3244416666666665 9.35796, 1.324795803089152 9.35794161611567))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d3f,Kara,Doufelgou,Doufelgou 1,Niamtougou,"MULTILINESTRING ((1.1211352693576364 9.762110564656625, 1.1211977338428147 9.762134689526317, 1.1211732545175426 9.761974966218625, 1.1211217635230035 9.761927548346911))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d40,Kara,Bassar,Bassar 3,Kabou,"MULTILINESTRING ((0.8254153367840665 9.460839769074846, 0.8236476074285788 9.459741383059821))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d41,Kara,Doufelgou,Doufelgou 1,Baga,"MULTILINESTRING ((1.0794699495869122 9.790040181826255, 1.0793078588433542 9.789989896360003, 1.0791337613780512 9.790241323615108, 1.0791457680997962 9.790409927667774, 1.0792298151520114 9.790489792715471))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d42,Kara,Doufelgou,Doufelgou 1,Baga,"MULTILINESTRING ((1.1147372182070145 9.789666182005627, 1.1146356126596149 9.789683411630165, 1.1145811856226198 9.789610745526337))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d43,Kara,Bassar,Bassar 3,Kabou,"MULTILINESTRING ((0.8085655762266596 9.431276283217088, 0.8089477615901871 9.431260574078806, 0.808963685980334 9.431217373944845, 0.8090034969557014 9.43118988294769, 0.8089597048827971 9.431036718780568))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d44,Kara,Bassar,Bassar 4,Sanda-Kagbanda,"MULTILINESTRING ((0.9072862966351789 9.503240183962596, 0.9072674642606963 9.503398062280084, 0.9075593660651736 9.503441401413323, 0.9075813371687365 9.503320670957082))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d45,Kara,Dankpen,Dankpen 1,Naompoch,"MULTILINESTRING ((0.649436559673569 9.857213530413844, 0.6491722088010538 9.85726855471435, 0.648930197438892 9.857334583862833, 0.6488259463905763 9.857352925290622, 0.6487868582654195 9.857321175815446, 0.6487558070460712 9.85725780498049, 0.6487269737709618 9.857214100949282, 0.648707012272809 9.857115766857893, 0.6486892687188959 9.857034914360781, 0.6486826148861786 9.856969358267492, 0.6486826148861786 9.856951876640414, 0.6488223453732465 9.856864468491116, 0.6489598579160749 9.85678580113694, 0.6490707551280336 9.856731171018833, 0.6492038317823838 9.856652503632857, 0.6492459727229283 9.856626281166694, 0.6492792418865159 9.856628466372289))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d46,Kara,Dankpen,Dankpen 1,Naompoch,"MULTILINESTRING ((0.639413885774781 9.798819850719305, 0.6395354309737378 9.798869131913499, 0.639688628568256 9.798746240820666, 0.6396443152144704 9.798628340186273))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d47,Kara,Bassar,Bassar 4,Sanda-Kagbanda,"MULTILINESTRING ((0.9006779410511333 9.485501305376118, 0.9008405522969769 9.485634961947397, 0.9010031635428208 9.485643872383632, 0.9012470804115872 9.485519126255298))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d48,Kara,Dankpen,Dankpen 1,Guérin-Kouka,"MULTILINESTRING ((0.613219080812106 9.68834671843485, 0.613610082855656 9.688997953928297, 0.613610082855656 9.688931501384824))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d49,Kara,Dankpen,Dankpen 1,Naompoch,"MULTILINESTRING ((0.6296218781583697 9.78359668546253, 0.6292814177427328 9.78414865135669, 0.6292814177427328 9.78414865135669))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d4a,Kara,Dankpen,Dankpen 1,Guérin-Kouka,"MULTILINESTRING ((0.439469160421791 9.67469392289804, 0.4395369212137675 9.67485180687719, 0.4396016019697451 9.67500361832565, 0.4396200821857388 9.675097741389255, 0.4395554014297612 9.675176683293245, 0.4393983195938157 9.675219190464636, 0.4391950372178862 9.67511595875336, 0.4390779958499266 9.674906459006532, 0.4390810758859256 9.674715176514939))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d4b,Kara,Bassar,Bassar 4,Sanda-Kagbanda,"MULTILINESTRING ((0.8966042615505018 9.476940406628318, 0.8960122855579148 9.476868171980728, 0.8959512571050707 9.476503988734258))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d4c,Kara,Dankpen,Dankpen 1,Koulféikou,"MULTILINESTRING ((0.4098950302064077 9.925703089157844, 0.4104052190067809 9.925342852323043))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d4d,Kara,Dankpen,Dankpen 2,Namon,"MULTILINESTRING ((0.8114839962544279 9.723153020247356, 0.8113844981272139 9.723178059106008, 0.8113252226471717 9.723124851529128, 0.8113358075543219 9.72304243193254))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d4e,Plateaux,Amou,Amou 1,Imlè-Adiva,"MULTILINESTRING ((0.9555983391021106 7.501453712902075, 0.9556458490407458 7.501458585716294))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d4f,Maritime,Zio,Zio 3,Gamé-Sèva,"MULTILINESTRING ((1.2175571978038122 6.740842026006897, 1.2180147238428378 6.739948001802101))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d50,Kara,Dankpen,Dankpen 1,Koulféikou,"MULTILINESTRING ((0.4080506398296104 9.990232053882727, 0.4081248142299406 9.990357699375688, 0.4081574509660859 9.990375231301076, 0.4081930546782444 9.990407373161844, 0.4082820639586405 9.990413217136185, 0.4083532713829575 9.990360621363319, 0.4083651392870104 9.990357699375688, 0.4083948090471426 9.99022328791629, 0.4083295355748521 9.990132706249279))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d51,Plateaux,Agou,Agou 1,Gadja,"MULTILINESTRING ((0.8465390514937353 6.772998851467971, 0.8466514920260989 6.773017990281991, 0.8467567555032051 6.772998851467972))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d52,Plateaux,Haho,Haho 3,Kpédomé,"MULTILINESTRING ((1.1992294800430037 7.086161035284681, 1.1990523059333447 7.086134980268555, 1.199041883926894 7.086091555241676, 1.1991530519956997 7.085652093969679, 1.1992485870548297 7.0857076780040815, 1.1993093820924579 7.086067237226624))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d53,Plateaux,Agou,Agou 1,Gadja,"MULTILINESTRING ((0.8169217821898209 6.8296727649322735, 0.81689467156076 6.829379066450781, 0.8170076325151806 6.829126033912878, 0.8170618537733026 6.829058257340226, 0.8173329600639121 6.829017591396636, 0.8175173359671007 6.829282279197818, 0.8175111488737272 6.829644224160178))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d54,Plateaux,Haho,Haho 1,Notsé,"MULTILINESTRING ((1.1900716699060532 6.952668658539702, 1.1901541813938585 6.952828180749459, 1.1902091890523951 6.952850183812873, 1.1902421936475172 6.952965699895801, 1.1900716699060534 6.95300970602263, 1.1898241354426382 6.953075715212874, 1.1893400680475152 6.953097718276289, 1.1887074799743431 6.9531087198079975, 1.188591963891416 6.952971200661656, 1.1886799761450748 6.952685160837265, 1.1887514861011723 6.952553142456777, 1.188889005247514 6.9524266248421425, 1.1891640435401978 6.9524266248421425, 1.189488588725564 6.952415623310435, 1.1898021323792232 6.952503635564095, 1.1900661691401995 6.95266315777385))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d55,Centrale,Mô,Mô 1,Boulohou,"MULTILINESTRING ((0.6117016666666667 8.634661666666666, 0.6117016666666667 8.634661666666666, 0.6117016666666667 8.634661666666666, 0.61171 8.634656666666666, 0.6117166666666667 8.634665, 0.6117166666666667 8.634665, 0.6117216666666666 8.634675, 0.61173 8.634683333333333, 0.6117383333333334 8.63469, 0.6117466666666667 8.634694999999999, 0.6117466666666667 8.634694999999999, 0.611755 8.634701666666666, 0.6117966666666667 8.634725, 0.6117966666666667 8.634725, 0.611805 8.634728333333333, 0.611805 8.634728333333333, 0.6118133333333333 8.634733333333333, 0.6118216666666666 8.634739999999999, 0.6118216666666666 8.634739999999999, 0.6118316666666667 8.634743333333335, 0.6118316666666667 8.634743333333335, 0.61184 8.634748333333333, 0.6118483333333333 8.634753333333332, 0.6118583333333334 8.634758333333334, 0.6118583333333334 8.634758333333334, 0.6118666666666667 8.634765, 0.6118666666666667 8.634765, 0.6118733333333334 8.63477, 0.6118733333333334 8.63477, 0.6118833333333333 8.634775, 0.6118916666666667 8.634780000000001, 0.6118916666666667 8.634780000000001, 0.6118983333333333 8.634786666666667, 0.6118983333333333 8.634786666666667, 0.6119066666666666 8.634793333333333, 0.6119166666666668 8.6348, 0.6119166666666668 8.6348, 0.6119233333333334 8.634805, 0.6119233333333334 8.634805, 0.6119316666666667 8.634813333333334, 0.6119383333333333 8.634818333333333, 0.6119383333333333 8.634818333333333, 0.6119450000000001 8.634823333333333, 0.6119516666666667 8.634828333333333, 0.6119816666666666 8.634848333333334, 0.6119816666666666 8.634848333333334, 0.6119983333333334 8.634858333333334, 0.6120166666666667 8.634866666666666, 0.6120166666666667 8.634866666666666, 0.6120249999999999 8.634871666666667, 0.612035 8.634876666666665, 0.612035 8.634876666666665, 0.6120466666666666 8.634885, 0.6120566666666666 8.63489, 0.6120566666666666 8.63489, 0.6120666666666666 8.634896666666666, 0.6120766666666667 8.634903333333334, 0.6120766666666667 8.634903333333334, 0.6120833333333333 8.634906666666666, 0.6120933333333334 8.634911666666666, 0.6121016666666667 8.634916666666667, 0.6121016666666667 8.634916666666667, 0.6121099999999999 8.634923333333335, 0.612115 8.634931666666667, 0.6121200000000001 8.634936666666666, 0.6121200000000001 8.634936666666666, 0.6121266666666667 8.634943333333332, 0.6121333333333333 8.634951666666666, 0.6121333333333333 8.634951666666666, 0.6121416666666666 8.634958333333334, 0.61215 8.634963333333333, 0.61215 8.634963333333333, 0.6121666666666666 8.634974999999999, 0.6121666666666666 8.634974999999999, 0.612175 8.63498, 0.6121816666666666 8.634986666666666, 0.6121933333333334 8.634993333333334, 0.6121933333333334 8.634993333333334, 0.6122 8.635, 0.6122083333333334 8.635008333333333, 0.6122166666666666 8.635013333333335, 0.6122166666666666 8.635013333333335, 0.6122266666666667 8.635018333333333, 0.612235 8.635021666666667, 0.6122449999999999 8.635025, 0.612255 8.63503, 0.6122633333333333 8.635034999999998, 0.6122716666666667 8.63504, 0.6123033333333333 8.635060000000001, 0.6123116666666667 8.635064999999999, 0.6123216666666667 8.635071666666667, 0.6123316666666666 8.635079999999999, 0.6123416666666667 8.635085, 0.6123416666666667 8.635085, 0.61235 8.635091666666666, 0.61236 8.635098333333334, 0.6123766666666667 8.635108333333333, 0.612385 8.635113333333333, 0.612385 8.635113333333333, 0.6123949999999999 8.63512, 0.6124033333333333 8.635124999999999, 0.612415 8.63513, 0.6124233333333333 8.635135, 0.6124433333333333 8.635141666666668, 0.6124533333333333 8.635145, 0.6124533333333333 8.635145, 0.61247 8.635151666666667, 0.61247 8.635151666666667, 0.6124766666666667 8.635156666666667, 0.612485 8.635161666666667, 0.6124933333333333 8.635166666666667, 0.6124933333333333 8.635166666666667, 0.6125016666666667 8.635173333333334, 0.61251 8.635183333333334, 0.6125616666666667 8.63522, 0.6125716666666666 8.635226666666666, 0.6125816666666667 8.635231666666666, 0.6125900000000001 8.635236666666666, 0.6125900000000001 8.635236666666666, 0.6125983333333332 8.635243333333333, 0.6126050000000001 8.635250000000001, 0.6126133333333333 8.635256666666667, 0.6126233333333333 8.635261666666667, 0.6126233333333333 8.635261666666667, 0.6126316666666667 8.635266666666666, 0.6126400000000001 8.635271666666666, 0.6126400000000001 8.635271666666666, 0.6126483333333332 8.635278333333334, 0.6126483333333332 8.635278333333334, 0.6126550000000001 8.635283333333332, 0.6126633333333333 8.635288333333333, 0.6126733333333333 8.63529, 0.6127199999999999 8.635308333333334, 0.6127283333333333 8.635313333333333, 0.6127366666666667 8.635316666666666, 0.612745 8.635321666666666, 0.612755 8.635328333333332, 0.612765 8.635335, 0.612775 8.635343333333333, 0.612775 8.635343333333333, 0.6127866666666667 8.635348333333333, 0.6128083333333334 8.635353333333335, 0.6128083333333334 8.635353333333335, 0.6128883333333334 8.63539, 0.6128983333333333 8.635394999999999, 0.6129166666666667 8.635404999999999, 0.612925 8.635408333333334, 0.612935 8.635411666666666, 0.61295 8.63542, 0.6129583333333334 8.635425, 0.612975 8.635441666666667, 0.6130183333333333 8.635461666666666, 0.6130183333333333 8.635461666666666, 0.6130283333333334 8.635463333333332, 0.613045 8.635491666666667, 0.613045 8.635491666666667, 0.6130016666666667 8.635555, 0.6129966666666667 8.63556))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d56,Kara,Bassar,Bassar 4,Sanda-Kagbanda,"MULTILINESTRING ((0.8847696531872571 9.478886647256742, 0.8849632010633149 9.478892521264138, 0.8850078659577898 9.478845529202179, 0.8851329276623195 9.478780915106471))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d57,Kara,Dankpen,Dankpen 2,Koutchitchéou,"MULTILINESTRING ((0.7718808507290803 9.619495074979296, 0.7719277134348692 9.619542527507148, 0.7720075066906718 9.619540030005846, 0.772048036598381 9.619533161877175, 0.7720746343503151 9.619513181865708))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d58,Kara,Doufelgou,Doufelgou 3,Kadjalla,"MULTILINESTRING ((0.9729545064188505 9.806697837133292, 0.9730417841859877 9.807554552878209, 0.9721589360030239 9.807627323997748))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d59,Kara,Doufelgou,Doufelgou 3,Kadjalla,"MULTILINESTRING ((0.9211843563467141 9.777859982800717, 0.921347708857865 9.777869889236673, 0.9214080236312129 9.777919421412024, 0.9214859302134539 9.777902085151492, 0.9214809039823415 9.777996196269237))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d5a,Kara,Dankpen,Dankpen 2,Natchiboré,"MULTILINESTRING ((0.8289829987833982 9.849610773668589, 0.8291052404942078 9.849545991602188, 0.8291700656438792 9.849515881623333, 0.8292487818970518 9.849452011962125, 0.8292608208534195 9.849408215615869, 0.8292422993820846 9.849320622905916, 0.829198773924448 9.849266789874722, 0.8291830306738135 9.849256753206916, 0.8291561745403783 9.849223905928335, 0.829132096627643 9.849217518957119, 0.8290978319056738 9.849217518957119, 0.8290459717859363 9.849241241992438, 0.8289829987833982 9.849273176844981, 0.828910765045193 9.849290512906501, 0.8288765003232237 9.849268614723382, 0.828812601247119 9.849275914117916))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d5b,Kara,Dankpen,Dankpen 2,Natchiboré,"MULTILINESTRING ((0.8042046123555003 9.859199986096181, 0.8039737705551515 9.859235052797013, 0.8039259751163128 9.859222028022852, 0.8038873319955496 9.859200988001971, 0.8038212319205598 9.85905370781819, 0.8038171642236372 9.85901763919172, 0.8038832642986271 9.858938488580923, 0.8039513982220782 9.858897410408334, 0.8039890244186108 9.858896408501622, 0.8040673275843677 9.859009623940857))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d5c,Kara,Doufelgou,Doufelgou 3,Kadjalla,"MULTILINESTRING ((1.0132204933737117 9.79094022939609, 1.0132348355930785 9.790881677056616, 1.013279911139661 9.790909943704548, 1.013263520031813 9.790962438901472))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d5d,Kara,Doufelgou,Doufelgou 3,Tchoré,"MULTILINESTRING ((1.0066958601240625 9.843378034859857, 1.0060393757502675 9.843550209950749, 1.005883519747856 9.843243086752885, 1.0064455459383708 9.84287546921623))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d5e,Kara,Dankpen,Dankpen 2,Natchiboré,"MULTILINESTRING ((0.7346686140350321 9.798154883568552, 0.7344074454977264 9.79777977845119, 0.7343323382059521 9.79775622923685, 0.7339704576183124 9.797929484131844, 0.7339363179402333 9.797953033333883, 0.7339380249241373 9.797981628791264, 0.7339943553929681 9.798366826182779))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d5f,Kara,Doufelgou,Doufelgou 2,Défalé,"MULTILINESTRING ((1.081447224103644 9.878053330987749, 1.0815830474774673 9.878149674034852, 1.0815742189581685 9.878273448047018, 1.0815429795821891 9.878300879038006))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d60,Kara,Dankpen,Dankpen 3,Nandouta,"MULTILINESTRING ((0.2528046316595369 9.564225575707633, 0.2523606772054987 9.564913167136671, 0.2523255621639363 9.564898327048565, 0.2522227252565037 9.564235469119351))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d61,Kara,Dankpen,Dankpen 3,Nandouta,"MULTILINESTRING ((0.4140689071447154 9.604299451155342, 0.4142010983320327 9.604503903379403, 0.4143695772962608 9.60458312858304, 0.4145328722923588 9.604567794674105, 0.4146676554637414 9.604450234682544, 0.4146702474478066 9.604230448501863, 0.4145950799099202 9.60409244315271))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d62,Kara,Dankpen,Dankpen 3,Nandouta,"MULTILINESTRING ((0.2522854306878651 9.565019521082458, 0.2520973143937811 9.565417729746821, 0.251864050189117 9.565009627693554))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d63,Kara,Dankpen,Dankpen 3,Nandouta,"MULTILINESTRING ((0.3941374846930147 9.638862418121477, 0.3941606244460368 9.639258795189535))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d64,Kara,Dankpen,Dankpen 3,Bapuré,"MULTILINESTRING ((0.6113820948710128 9.516311150689205, 0.6114473699933601 9.516465316253736, 0.6117119060155043 9.516390774670777))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d65,Kara,Dankpen,Dankpen 3,Bapuré,"MULTILINESTRING ((0.6145089347126016 9.51146635311089, 0.6144653097519908 9.51155240355749, 0.6143460681929875 9.511506509988665, 0.6141730225158977 9.51148786572457, 0.6141744766812514 9.5112870812776))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d66,Kara,Doufelgou,Doufelgou 3,Alloum,"MULTILINESTRING ((0.9179881547023454 9.74911000420033, 0.9182945834559558 9.750056667739205, 0.9185126192998715 9.750045052251952))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d67,Kara,Doufelgou,Doufelgou 3,Léon,"MULTILINESTRING ((0.9533566236432577 9.670562869836933, 0.9536043869003675 9.67072569814257, 0.9533448253929193 9.671574730172916, 0.9532268428895336 9.671621252413985, 0.9532386411398722 9.671830602419146, 0.9530380708841165 9.67188875517522, 0.9530616673847939 9.671981799564016, 0.9528375006283611 9.672028321748758))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d68,Plateaux,Haho,Haho 1,Notsé,"MULTILINESTRING ((1.1324340850657348 6.926611292847626, 1.1325431962580028 6.926668029187578))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d69,Plateaux,Kloto,Kloto 2,Kpimé,"MULTILINESTRING ((0.6418652285091052 7.009421579688947, 0.6432184354297703 7.009026894337087, 0.6442897242419634 7.009214839742733, 0.6447407932155187 7.009534346932335, 0.6461315892173134 7.010812375690742, 0.6462819455418317 7.0113010337454265))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d6a,Plateaux,Akébou,Akébou 1,Djon,"MULTILINESTRING ((0.7900586222731065 7.720504163111944, 0.7898064779507515 7.720409608991063, 0.7893792334045379 7.720402604982107))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d6b,Plateaux,Moyen-Mono,Moyen-Mono 2,Kpékplémé,"MULTILINESTRING ((1.5664671229633795 7.298361951852562, 1.566212094815993 7.298621791851787, 1.5654999407440455 7.2996659637005195))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d6c,Plateaux,Haho,Haho 2,Asrama,"MULTILINESTRING ((1.500739038930314 7.00803420314671, 1.5003570464901268 7.0089267795416035, 1.5001301202880355 7.009304989878421))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d6d,Plateaux,Kloto,Kloto 2,Lavié-Apédomé,"MULTILINESTRING ((0.7332018175186827 6.966711020431836, 0.7329477244544019 6.966588860304777, 0.7329574972645665 6.966222379923602, 0.7329650835932799 6.965904727991687, 0.7329998355198692 6.965830259577567, 0.7331884888356395 6.9657557911634465, 0.7336005473937691 6.965820330455684, 0.7336700512469475 6.96587990518698, 0.733570760028121 6.966614660206296))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d6e,Plateaux,Moyen-Mono,Moyen-Mono 2,Saligbé,"MULTILINESTRING ((1.5918515093379033 7.250490735938879, 1.592837774872096 7.252244096888555))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d6f,Plateaux,Anié,Anié 1,Anié,"MULTILINESTRING ((1.14541772085503 7.725728104146858, 1.1423306388655532 7.732024250088926, 1.1421898904465801 7.732150923666001, 1.1402944784044091 7.733192461966402, 1.1401537299854363 7.733225303264162, 1.1369399744188837 7.733328518771409))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d70,Plateaux,Amou,Amou 1,Imlè-Adiva,"MULTILINESTRING ((0.9886575803216723 7.509846673919755, 0.989003481889236 7.509896088429407, 0.9891693734573536 7.51004080235053, 0.9892929097314834 7.510256108428299))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d71,Plateaux,Haho,Haho 2,Djemegni,"MULTILINESTRING ((1.2664882857509818 6.941215637886795, 1.2665844533764048 6.941244377636921, 1.2666662511267646 6.941274222762052, 1.2667325736270563 6.941301857137174, 1.2668077391273869 6.941336123762325))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d72,Plateaux,Haho,Haho 2,Asrama,"MULTILINESTRING ((1.3824808980683023 7.012645268454632, 1.3827626309039562 7.013081653379818, 1.3827663393726295 7.013082116938403, 1.3827743318621086 7.013080815390564, 1.3828353908430637 7.01302762483499, 1.3829156487819483 7.012973804805384, 1.3829829380362406 7.012903823005332, 1.3830253442817637 7.012802160350503, 1.3830649421666563 7.0125345235823975, 1.3830725247403592 7.012404777321261))"
