FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,geometry
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4cff,Maritime,Lacs,Lacs 2,Aklakou,"MULTILINESTRING ((1.7239766104368863 6.362681730541302, 1.724069379455667 6.362443101428176, 1.724031180447934 6.362155661667501, 1.72381835740485 6.361889915330628, 1.7234199963242058 6.36164586245122, 1.7227815271949545 6.361884491934568, 1.7226723871728604 6.362025500213551))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d00,Maritime,Lacs,Lacs 2,Aklakou,"MULTILINESTRING ((1.725106151447225 6.364492355583872, 1.725106151447225 6.364492355583872, 1.725106151447225 6.364492355583872, 1.725106151447225 6.364492355583872))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d01,Kara,Bassar,Bassar 4,Sanda-Kagbanda,"MULTILINESTRING ((0.8635809474873499 9.4826282988575, 0.8636215630043731 9.482600256485181, 0.8636053167975639 9.48250811724569, 0.8635240857635176 9.482371911368068, 0.8634266085226621 9.482319832635861, 0.8633169466266993 9.482267753895748, 0.8631747923171179 9.48221567514773, 0.8631301152483924 9.482195644857924, 0.8631098074898809 9.482203656973986, 0.86312605369669 9.482283778124318))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d02,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,"MULTILINESTRING ((1.3042183333333335 7.9076466666666665, 1.3040349999999998 7.907803333333334, 1.3039733333333334 7.908124999999999, 1.3042866666666666 7.90834, 1.3045666666666667 7.908603333333334, 1.3049583333333334 7.908263333333334, 1.3049333333333335 7.90801, 1.3043783333333332 7.907593333333334, 1.3042266666666666 7.907636666666667))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d03,Plateaux,Ogou,Ogou 2,Akparé,"MULTILINESTRING ((1.2636957231330797 7.516883945880278, 1.2640967606163735 7.516900483508455))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d04,Plateaux,Haho,Haho 1,Atchavé,"MULTILINESTRING ((1.1917 6.860545, 1.1916033333333333 6.860731666666667, 1.1918083333333334 6.861130000000001))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d05,Plateaux,Haho,Haho 1,Atchavé,"MULTILINESTRING ((1.1923866666666667 6.860931666666666, 1.1921199999999998 6.860586666666667, 1.1920866666666665 6.8605566666666675, 1.192015 6.860508333333333, 1.1918466666666667 6.860508333333333))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d06,Plateaux,Kpélé,Kpélé 2,Kpélé-Gbalédzé,"MULTILINESTRING ((0.7409591669168986 7.194976701048521, 0.7404290165229093 7.194982267485236))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d07,Kara,Dankpen,Dankpen 1,Katchamba,"MULTILINESTRING ((0.5358073008721832 9.885021341579943, 0.5361219990180783 9.884920489664001))"
_mview_general_digues_petits_barrages.fid-7b1c8a4a_193e3fcb1e6_4d08,Plateaux,Agou,Agou 2,Agotimé-Sud (Adzakpa),"MULTILINESTRING ((0.775244735460105 6.5707272138447514, 0.7753490326162886 6.5704996564130775, 0.7753205879373296 6.569930762833894))"
