FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,activite_statut,activite_categorie,toilette_type,geometry
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d3f,Maritime,Golfe,Golfe 6,Baguida,Kpogan,Ferme D'élevage Tina,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2016,{Construit et Utilise},{Elevage traditionnel},{WCs},"POLYGON ((1.36851596052268 6.191014840809798, 1.3686327405776093 6.191017817706727, 1.3686327405776093 6.190870461288548, 1.3685204520632543 6.190871949737423, 1.36851596052268 6.191014840809798))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d3e,Maritime,Golfe,Golfe 6,Baguida,Avekpozo,Ferme D'élevage Blessed,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Dimanche,Samedi}",2017,{Construit et Utilise},{Elevage traditionnel},{WCs},"POLYGON ((1.3511962314661756 6.180242099518921, 1.351381783712808 6.1802906452652016, 1.3514525865437599 6.179914415615033, 1.3512694757740566 6.179870724412517, 1.3511962314661756 6.180242099518921))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d3d,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Ferme Plakoo,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2014,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.3535288885138939 6.180095231954878, 1.35343855279716 6.1803828865137636, 1.353672901975354 6.180449268312836, 1.3537654597354618 6.180167859865399, 1.3535288885138939 6.180095231954878))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d3c,Maritime,Golfe,Golfe 6,Baguida,Agodeke,Ferme Mawussi,Agodeke,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2008,{Construit et Utilise},{Elevage traditionnel},{WCs},"POLYGON ((1.357761923000968 6.185807791136294, 1.3573727631732913 6.185903740843695, 1.357447481860205 6.18611730625894, 1.3578055089016676 6.186030642042863, 1.357761923000968 6.185807791136294))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d3b,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Elevage Kekere,Avepozo,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2021,{En construction},{Elevage traditionnel},"{WCs,Douches}","POLYGON ((1.3547348343441312 6.178703928457646, 1.3549936885755152 6.178710959893578, 1.3550262221674378 6.178889558334905, 1.3547164457921748 6.178869870320707, 1.3547348343441312 6.178703928457646))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d3a,Maritime,Golfe,Golfe 6,Baguida,Baguida,Elevage Sossou-gah,Nsp,"{Lundi,Mercredi,jeudi,Mardi,Vendredi,Samedi,Dimanche}",1990,{Construit et Utilise},{Elevage traditionnel},{WCs},"POLYGON ((1.324425081964211 6.172894157156333, 1.32417239278902 6.172841267875872, 1.3242312902659445 6.172597599336984, 1.3244858793597456 6.172654266449053, 1.324425081964211 6.172894157156333))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d39,Maritime,Golfe,Golfe 6,Baguida,Lomnava,Ferme D'élevage De Gueli,Lomnava,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,"{En construction,Inacheve}",{Elevage traditionnel},"{WCs,Douches}","POLYGON ((1.3193439586352684 6.187108705498689, 1.3193605374151822 6.186957829839928, 1.3193414080537431 6.18690204387116, 1.319157766183924 6.186848793622755, 1.319147563857823 6.186858936527627, 1.319111855716469 6.18709856259861, 1.3193439586352684 6.187108705498689))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d38,Maritime,Golfe,Golfe 6,Baguida,Maya Kopé,Ferme De Maya Kopé,Maya kope,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2012,"{En construction,Construit et Utilise}",{Elevage traditionnel},"{WCs,Douches}","POLYGON ((1.314663660603496 6.183917299409856, 1.3146712506580176 6.184130470754147, 1.3142860553910478 6.184109719565115, 1.3142974404728307 6.183896548212461, 1.314663660603496 6.183917299409856))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d37,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Ferme D'elevage Mensanh,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2020,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.3518521610721275 6.17707638471185, 1.3521646074025029 6.177201246698616, 1.3522748825779298 6.17685406939422, 1.3519379306530153 6.176729207325569, 1.3518521610721275 6.17707638471185))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d36,Maritime,Golfe,Golfe 6,Baguida,Maya-kope,Ferme D'élevage Gbotso,Nsp,"{Samedi,Dimanche,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2015,{Construit et Utilise},{Elevage traditionnel},"{WCs,Douches}","POLYGON ((1.315650276161551 6.185682110112565, 1.3156621417456844 6.186036005047196, 1.3153343549839969 6.186034530485458, 1.315329905389947 6.185667364485149, 1.315650276161551 6.185682110112565))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d35,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Ferme D'élevage De Agbotsou,Avepozo,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2001,"{En construction,Construit et Utilise}",{Elevage traditionnel},"{Douches,WCs}","POLYGON ((1.3445984329963938 6.16716507773047, 1.3446846266477512 6.166863847360769, 1.344386866761243 6.166791136556239, 1.3443163446828594 6.167100157406638, 1.3445984329963938 6.16716507773047))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d34,Maritime,Golfe,Golfe 6,Baguida,Avekpozo,Ferme D'élevage Kewanou,Avekpozo,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2000,"{Inacheve,En construction,Construit et Utilise}",{Elevage traditionnel},"{WCs,Douches}","POLYGON ((1.3367470702062032 6.172065679931008, 1.3367038285057742 6.1722825892749, 1.3363008944790487 6.172212240308233, 1.336359860434179 6.171975789546251, 1.3367529668017164 6.172048092683016, 1.3367470702062032 6.172065679931008))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d33,Maritime,Golfe,Golfe 6,Baguida,Kagome,Fermes Fousseni,90016954,"{Samedi,Vendredi,jeudi,Dimanche,Mercredi,Mardi,Lundi}",2015,{Abandonne},{Elevage traditionnel},{Latrines a eau},"POLYGON ((1.3014347233583459 6.171175099875237, 1.3012424865981138 6.17125457666937, 1.301318619968503 6.171462730121316, 1.301516566731514 6.1713851456624225, 1.3014347233583459 6.171175099875237))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d32,Maritime,Golfe,Golfe 6,Baguida,Kpogan,Élevage Degbe,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2014,{Construit et Utilise},{Elevage traditionnel},{WCs},"POLYGON ((1.3787738593132364 6.177522170134405, 1.378793084599388 6.17739028593398, 1.378979569875058 6.177445715529467, 1.3789449643599854 6.177560397432733, 1.3787738593132364 6.177522170134405))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d31,Maritime,Golfe,Golfe 6,Baguida,Kpogan Djavegi,Elevage Koutchoedo,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2002,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.36829 6.191684999999999, 1.3681455837891778 6.191689362928101, 1.3681362330992681 6.19154165751201, 1.3682827272411804 6.1915457891326025, 1.36829 6.191684999999999))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d30,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Elevage Boessi,Nsp,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2018,{Construit et Utilise},{Elevage traditionnel},"{WCs,Douches}","POLYGON ((1.3541787163450543 6.18558955195487, 1.354111838074899 6.185380586763936, 1.3545449544911379 6.185212781323543, 1.3546468642361351 6.1854280788600375, 1.3541787163450543 6.18558955195487))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d2f,Maritime,Golfe,Golfe 6,Baguida,Avepozo Kpota,Elevage Gnamati,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2000,{Construit et Utilise},{Elevage traditionnel},"{WCs,Latrines seches,Douches}","POLYGON ((1.3475408780986187 6.182398399918523, 1.3477122186643002 6.18241621367668, 1.3476831019668645 6.1825698573158805, 1.3474994427984213 6.182534229809317, 1.3475408780986187 6.182398399918523))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d2e,Maritime,Golfe,Golfe 6,Baguida,Kpogan Agodeke,Elevage Sedjro,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2013,{Construit et Utilise},{Elevage traditionnel},"{WCs,Douches}","POLYGON ((1.3673681276522305 6.178882297761832, 1.3673681276522305 6.178586342977142, 1.3671761302554692 6.178558323580665, 1.367165561591427 6.1788595320150375, 1.3673681276522305 6.178882297761832))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d2d,Maritime,Golfe,Golfe 6,Baguida,Devego Oligocope,Elevage Tchoumado,Nsp,"{Dimanche,Samedi,jeudi,Vendredi,Mercredi,Mardi,Lundi}",1989,{Construit et Utilise},{Elevage traditionnel},"{WCs,Douches}","POLYGON ((1.3507112742160365 6.196237785658647, 1.350644437034864 6.196081891403405, 1.3508141006486096 6.196015444657664, 1.350878367168968 6.196161116358542, 1.3507112742160365 6.196237785658647))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d2c,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Elevage Sossa,Nsp,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2016,{Construit et Utilise},{Elevage traditionnel},"{WCs,Douches}","POLYGON ((1.3520980644860765 6.193087332198274, 1.3520953038973569 6.1929391303715695, 1.3523271933497982 6.192973436353673, 1.3523202918779993 6.193110660259798, 1.3520980644860765 6.193087332198274))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d2b,Maritime,Golfe,Golfe 6,Baguida,Avepozo,Elevage Amuzu,Nsp,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",2016,{Construit et Utilise},{Elevage traditionnel},"{WCs,Douches}","POLYGON ((1.3523371362161867 6.190846903365287, 1.3522517614086222 6.190547337683396, 1.3525807055201216 6.190449978800202, 1.3526962126127087 6.190672156738163, 1.3523371362161867 6.190846903365287))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d2a,Maritime,Golfe,Golfe 6,Baguida,Devego,Ferme Bovine Aboubakar,Néant,"{Lundi,Mardi,Mercredi,Vendredi,jeudi,Samedi,Dimanche}",1995,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.3470760546560057 6.196492744029959, 1.3469486069528231 6.1965970877484695, 1.3469148707960985 6.196734970487716, 1.3468249077114987 6.196738697047734, 1.3466637238515915 6.19677596264649, 1.3465325276865503 6.196902665662569, 1.3463900861359346 6.19699582962557, 1.346273883818327 6.19707036078413, 1.3463376076699185 6.1971970637295195, 1.3464538099875258 6.197484008522778, 1.3464538099875263 6.19768151588721, 1.3465812576907088 6.197756046948914, 1.346896128486807 6.197741140737415, 1.34697859464769 6.19755853961238, 1.3470873000415813 6.197439289863959, 1.3470235761899896 6.197245508965298, 1.3470947969652973 6.197070360784124, 1.3472747231344966 6.196805775123592, 1.3473384469860878 6.196690251765413, 1.3472634777489214 6.196511376838341, 1.3471885085117552 6.196421939352066, 1.3470760546560057 6.196492744029959))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d29,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Wognomé,Ferme Agbossou,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",1997,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.1512933784748132 6.189214580063077, 1.1511950505536546 6.189080810326845, 1.1510760220175151 6.189173420147843, 1.1511898753999095 6.189299472378119, 1.1512933784748132 6.189214580063077))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d28,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Wognomé,Ferme Amevor,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",1980,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.1513712703414993 6.186991410269587, 1.1513242427802546 6.186785694181531, 1.1514935420007355 6.186717122134386, 1.1515374343912308 6.18695712426047, 1.1513712703414993 6.186991410269587))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d27,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Wognomé,Ferme Gbedji,Nsp,"{Dimanche,Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",1985,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.1500589107291983 6.192653926486066, 1.1499574938537542 6.192517092420378, 1.1500830576043037 6.192447475075104, 1.1501627422921528 6.192608315134776, 1.1500589107291983 6.192653926486066))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d26,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Wognomé,Ferme Sokpo,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",1976,{Construit et Utilise},{Elevage traditionnel},{autre},"POLYGON ((1.144641951122248 6.195129646855637, 1.1446536998625818 6.195082311592492, 1.1446901827930913 6.195105671852757, 1.1446703954409505 6.195140097497579, 1.144641951122248 6.195129646855637))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d25,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Wognome,Ferme Agbossou,Wognomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",1984,{Construit et Utilise},{Elevage traditionnel},"{WCs,Latrines a eau}","POLYGON ((1.1509990826123502 6.188740052766592, 1.1510238150127012 6.1889613470972, 1.151379961577758 6.188867911724471, 1.1513304967770561 6.188681040929445, 1.1509990826123502 6.188740052766592))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d24,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Wognome,Ferme Amegonou,Wognomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2010,{Construit et Utilise},{Elevage traditionnel},{Latrines a eau},"POLYGON ((1.1504877147990606 6.189201609429011, 1.1504053717343576 6.189196270530393, 1.150400001534486 6.189336861509353, 1.150482344599189 6.189340420774158, 1.1504877147990606 6.189201609429011))"
_mview_general_etablissements_elevage.fid--c72d8f_193db82c344_-1d23,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Wognome,Ferme Doki,Wognomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2008,{Construit et Utilise},{Elevage traditionnel},"{WCs,Latrines a eau}","POLYGON ((1.1523391900658493 6.19218441494755, 1.1523532183735288 6.1924215047506594, 1.152066640088073 6.192439435907909, 1.1520626320001643 6.192198361409504, 1.1523391900658493 6.19218441494755))"
