FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,village,barrage_nom_officiel,barrage_type,barrage_utilisation,geometry
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_64ca,Maritime,Zio,Zio 1,Tsévié,Tsevie,Nsp,Retenue d'eau,{autre},"MULTIPOLYGON (((1.2067512893922545 6.510770600219964, 1.206701037380852 6.510820528131446, 1.2066775151627482 6.510863019967093, 1.2066817919296764 6.510901262616102, 1.20669996818912 6.510937380670825, 1.2067651888847704 6.5109809347921805, 1.2067940570615336 6.510988370861301, 1.2068122333209774 6.510984121678959, 1.2068432398812048 6.510949065923265, 1.2068699696745042 6.510900200320335, 1.2068966994678039 6.510834337978425, 1.2068977686595357 6.510795033028328, 1.2068860075504837 6.510757852667298, 1.2068464474564011 6.510715360822748, 1.2068282711969576 6.510706862453407, 1.2067512893922545 6.510770600219964)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_64cb,Maritime,Yoto,Yoto 1,Kini-Kondji,Djanta Kondji,Nsp,Mare artificielle,"{eau potable,irrigation,elevage}","MULTIPOLYGON (((1.549212810214987 6.591198864847507, 1.5490426377379019 6.591029817112038, 1.5488899830158107 6.590823479356823, 1.5487148054658701 6.590520187560779, 1.5485821710352012 6.590189549571795, 1.5485946837173397 6.589913603412234, 1.5487047953201591 6.589744555238647, 1.5489250185257988 6.589679919157047, 1.5491252214400166 6.589627713084991, 1.549227825433553 6.589585451022634, 1.5493504497185113 6.58947109483585, 1.5494905917584638 6.589297074501025, 1.5496332363348437 6.589145428159464, 1.5497083124276754 6.589130512123364, 1.5497558606198023 6.589103166056017, 1.549680784526971 6.5890037257984, 1.549600703361284 6.588911743542357, 1.5495656678512955 6.588804845223364, 1.5496307337984165 6.588717834946711, 1.5497683733019414 6.588655684739758, 1.5498534595404838 6.588613422594582, 1.5499135204147494 6.588613422594582, 1.5500886979646897 6.588742695027313, 1.5502413526867809 6.588966435696654, 1.5503814947267336 6.58918520425354, 1.550251362832492 6.58947606684452, 1.5502613729782027 6.589600367045055, 1.550283895806052 6.589883771385791, 1.5503965099452999 6.590114969543816, 1.55057168749524 6.590356111593805, 1.5506918092437705 6.590644487499628, 1.550699316853054 6.590893087283847, 1.550624240760222 6.59105964906955, 1.550481596183842 6.591054677076756, 1.5503890023360163 6.590980097178882, 1.5503314439981788 6.591014901132617, 1.5502889008789078 6.59116654690254, 1.5501837943489432 6.591221238808182, 1.5500336421632799 6.591151630927226, 1.5497733783747967 6.591106882998596, 1.5494705714670423 6.591206322834513, 1.549212810214987 6.591198864847507)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_64cc,Maritime,Yoto,Yoto 1,Kini-Kondji,Djanta Kondji,Nsp,Mare artificielle,"{eau potable,irrigation,elevage}","MULTIPOLYGON (((1.5459009267616826 6.590785529545907, 1.5461188933300327 6.590829945149871, 1.5461691933073445 6.5910964386901085, 1.5474658149447094 6.591362932087123, 1.5477173148312673 6.5912463412435525, 1.5477284926040027 6.590557899513159, 1.547605537103908 6.590374685020662, 1.5471304817626317 6.589941632314782, 1.5471696039672074 6.589292052546981, 1.547225492830887 6.588653575877816, 1.5472478483763585 6.588203865730617, 1.5474322816265011 6.587865194856826, 1.5474714038310766 6.5873766200741874, 1.5475887704448041 6.5863495010645785, 1.5473819816491898 6.5863050850594504, 1.547225492830887 6.586566029032656, 1.5470801817853201 6.586688172972966, 1.547046648467112 6.5864272290639905, 1.546867804103338 6.585955308880132, 1.5464318709666374 6.585594428436725, 1.5461412488755035 6.58528351584428, 1.545951226738993 6.58475607439377, 1.5455600046932363 6.58450623351106, 1.545381160329462 6.584328568806845, 1.5452190826247914 6.584195320236955, 1.5450122938291766 6.584300808691069, 1.544967582738233 6.584717210264722, 1.5450625938064881 6.58540010808927, 1.5451743715338473 6.585960860884903, 1.545062593806488 6.586194045029235, 1.5446713717607312 6.5863772610657705, 1.544514882942429 6.586094108980796, 1.5444086941014379 6.58576654068093, 1.5444086941014379 6.58576654068093, 1.5441571942148797 6.5852113396788905, 1.5440062942829451 6.5844895774477425, 1.5438889276692178 6.584134247963802, 1.5436094833508198 6.583656773569233, 1.54336357235063 6.583673429660494, 1.5430450058276566 6.5840953837860665, 1.5427711503956267 6.584378537011336, 1.5426593726682678 6.584189768212436, 1.5426929059864751 6.583828886485329, 1.5429388169866651 6.583501316690502, 1.5431064835777042 6.583168194643591, 1.5431064835777042 6.583168194643591, 1.5431791391004874 6.582751791770627, 1.5431567835550155 6.582374252863952, 1.5429835280776087 6.582035578012233, 1.5426258393500596 6.581852360373218, 1.5422569728497748 6.581696902929522, 1.541631017576564 6.581552549545372, 1.541133606689816 6.581347123503276, 1.5404685292120297 6.581152801493352, 1.540233795984575 6.581358227615833, 1.5401018946509628 6.580841717467909, 1.5399007952168398 6.58013584735412, 1.5392170571408232 6.57998934588404, 1.5387344184989298 6.580162483980398, 1.5383054063728017 6.5802423938506704, 1.5374741953784286 6.580575351505086, 1.5375814484099606 6.581148038148544, 1.5375814484099606 6.581574223129035, 1.5379434273913817 6.58156090485393, 1.5387746383857546 6.581467676918201, 1.5393779366881226 6.581281220994237, 1.5397265090406018 6.581534268302652, 1.5400080482483736 6.582240136428806, 1.5403834338587359 6.582852775875851, 1.5403029940850874 6.58331891407915, 1.5399544217326087 6.583478732790959, 1.5393645300591823 6.583358868761927, 1.5389355179330537 6.58327895939316, 1.5386539787252826 6.583532005683463, 1.5387746383857561 6.584157961742145, 1.538975737819879 6.584424325783033, 1.5394717830907145 6.584517553163574, 1.5398203554431937 6.584118007123683, 1.5401689277956725 6.58366518788971, 1.5408258526138061 6.583412141667291, 1.5413353045135834 6.5833189140791495, 1.5417911298975948 6.583079185914972, 1.542220142023723 6.583452096342564, 1.542220142023723 6.584051416085769, 1.5417240967528876 6.584411007584382, 1.5416034370924139 6.584690689680982, 1.5419386028159516 6.585063598897971, 1.542595527634086 6.585676234860479, 1.5430915729049215 6.586928140779884, 1.5428502535839745 6.58814008924603, 1.542595527634086 6.589019082984486, 1.5422201420237238 6.589578441825242, 1.5423944281999635 6.5898448029562635, 1.5429977265023311 6.589884757113581, 1.5435742115468156 6.589298762483714, 1.5441238833334174 6.589152263718071, 1.5446065219753113 6.589378670883099, 1.5444858623148376 6.590004619566215, 1.5444724556858964 6.590364206750302, 1.5454645462275673 6.590643885491001, 1.5459009267616826 6.590785529545907)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_64cd,Maritime,Yoto,Yoto 3,Essé-Godjin,Lakata,N/a,Mare naturelle,"{irrigation,elevage}","MULTIPOLYGON (((1.5971509713744718 6.74621234244701, 1.5969533867158598 6.745804815435169, 1.5965846149894682 6.745231182927682, 1.5965525786244217 6.744443770519517, 1.5960880513312459 6.744722148789863, 1.5957196331332106 6.745151646378906, 1.5956475513118562 6.745939057636483, 1.5951349694711108 6.745986779489744, 1.5945823421740573 6.745509560745563, 1.5939175875993408 6.74597882584786, 1.5930926511993908 6.745692494653067, 1.593653287587706 6.744594890171838, 1.5944942421701789 6.744348326504291, 1.594958769463354 6.743879059822623, 1.5956555604031173 6.743330255838693, 1.5954633422128375 6.742988247244486, 1.5948306240031678 6.743131413662131, 1.5943580876187307 6.74325867266453, 1.594181887610975 6.742781451233217, 1.594261978523591 6.742328090438181, 1.5947345149080285 6.742208784895315, 1.5950468694672324 6.741659979019867, 1.5950468694672324 6.741325922965354, 1.5948866876419994 6.7408884682601125, 1.5945983603565805 6.740785069817555, 1.5947825694555984 6.740466920625197, 1.5952551058400353 6.740522596748931, 1.595743660406996 6.74069757881047, 1.5961040695137698 6.7411509411306305, 1.596464478620544 6.7411509411306305, 1.5967848422710098 6.740864607083019, 1.5970090968263357 6.739989696445176, 1.5968489150011034 6.739528379291294, 1.5972333513816623 6.739202275521158, 1.5968409059098414 6.7389477553530535, 1.5959518967797985 6.738573928613934, 1.5961200876962935 6.738231916664003, 1.5964404513467594 6.738136471425623, 1.5967047513583934 6.73851825226643, 1.5970331241001205 6.738510298501978, 1.5971772877428303 6.73791376579635, 1.5970010877350742 6.73729337100412, 1.5970651604651673 6.736720698183862, 1.5977379241311458 6.735813964835713, 1.5985228150747872 6.735225382632415, 1.5992836787446432 6.734803830074987, 1.5997081605815104 6.7354083204207305, 1.5996681151252021 6.735965087178101, 1.5998122787679112 6.73656957607687, 1.6001406515096388 6.737253602080115, 1.6005971697115522 6.738693235051347, 1.601085724278513 6.739560194281514, 1.6011578060998675 6.7407612086353685, 1.60082943335814 6.742256507115985, 1.6000525515057602 6.742765543844077, 1.5992676605621194 6.743592727386816, 1.5992836787446427 6.74476191710114, 1.5984186968883853 6.7449766659256305, 1.5975296877583425 6.745453885194784, 1.5971509713744718 6.74621234244701)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_64ce,Maritime,Yoto,Yoto 1,Kini-Kondji,Djanta Kondji,Nsp,Mare artificielle,"{elevage,irrigation,eau potable}","MULTIPOLYGON (((1.537005000190203 6.589464726618067, 1.5372004419999916 6.589163173314135, 1.5371588586362068 6.589039247245667, 1.5369842085083107 6.588948368109116, 1.5369135167898766 6.588836834600589, 1.5366806499526813 6.589035116376185, 1.5364976831520276 6.589361454959281, 1.5363063996786173 6.589696055055722, 1.5360984828596933 6.589968692004441, 1.5359155160590399 6.59037351628817, 1.535657699203574 6.590770078531406, 1.535553740794112 6.591278173442098, 1.5355079990939486 6.591711912588077, 1.5357616576130364 6.591968025048489, 1.5358656160224984 6.592038249409685, 1.5359654160955818 6.592034118565185, 1.536185807923642 6.592211744847645, 1.5364145164244583 6.592509165457177, 1.5366224332433822 6.592922249341074, 1.5370756919086372 6.593182492011195, 1.5374790505373501 6.593488173703193, 1.5380030009210393 6.59377733188699, 1.538497842950079 6.594066489902098, 1.5388221931876012 6.59423998463019, 1.5390467433520394 6.594103667348944, 1.5392213934799361 6.594293685367054, 1.5394376269716175 6.594144975619948, 1.539508318690052 6.593983873343565, 1.5395332687083227 6.593793855206681, 1.5396829688179476 6.593715369433233, 1.539795243900167 6.593736023585344, 1.5398617772822227 6.593872340967703, 1.5399449440097928 6.593975611686955, 1.54014454415596 6.594033443280336, 1.5402734525836927 6.594132583139007, 1.54041899435694 6.594033443280336, 1.5406809695487844 6.593967350030206, 1.5409678947588998 6.593917780086822, 1.5410469031500913 6.593756677736595, 1.5411508615595533 6.593550136185346, 1.5410593781592266 6.593343594548036, 1.5410094781226849 6.593120529483078, 1.5410011614499277 6.593004866076546, 1.5408722530221948 6.593021389421987, 1.5406809695487844 6.593029651094502, 1.5405354277755374 6.592885071805616, 1.540402361011426 6.592839632591826, 1.540290085929207 6.592942903526229, 1.5402984026019642 6.593149445330493, 1.5403275109566135 6.5933229403795695, 1.5401694941742305 6.5934509962101755, 1.5401320691468245 6.593541874521504, 1.5400696941011467 6.593636883647351, 1.539915835655143 6.593707107772143, 1.539770293881896 6.593603836996947, 1.5396081187631352 6.593500566200238, 1.5394376269716172 6.593327071213331, 1.5393544602440477 6.5931618378360115, 1.539283768525613 6.593298155376275, 1.5391922851252864 6.593310547878077, 1.5390509016884182 6.593281632040058, 1.5389926849791193 6.5931370528246624, 1.5387473431327887 6.5933229403795695, 1.5385311096411072 6.593459257875531, 1.5383855678678602 6.593533612857526, 1.5382608177765058 6.593529482025486, 1.5381443843579081 6.593285762874166, 1.5382026010672067 6.593042043603016, 1.5383647761859676 6.592736361635913, 1.5383315094949392 6.592471987890738, 1.5384188345588876 6.592244791590842, 1.538556059659378 6.592162174728704, 1.5388014015057085 6.5921869597887905, 1.5391257517432302 6.5921580438852345, 1.5391673351070152 6.592042380254146, 1.5391756517797723 6.591873015602799, 1.539046743352039 6.591910193214148, 1.5389136765879277 6.591885408140225, 1.5388804098968996 6.591740828517647, 1.5389012015787915 6.591629295637137, 1.5387806098238157 6.591422753199576, 1.5386018013595408 6.591216210675979, 1.5383647761859667 6.590960097827237, 1.5383647761859667 6.590790732806216, 1.5382109177399632 6.590770078531401, 1.5380944843213655 6.590836172207777, 1.5380113175937957 6.591096415972871, 1.5378740924933056 6.591369052151716, 1.5376329089833534 6.591534286126543, 1.5373709337915087 6.591587987156506, 1.5371297502815566 6.591654080723861, 1.5368968834443613 6.591472323392435, 1.5366473832616523 6.591426884049168, 1.5364602581246207 6.591385575551676, 1.5362939246694811 6.591443407447202, 1.5361858079236401 6.591385575551676, 1.5362190746146682 6.59116250960575, 1.5363063996786162 6.590972490387479, 1.5363895664061857 6.59071637741286, 1.5365309498430544 6.590344600278855, 1.5367014416345721 6.5899645611426925, 1.5369135167898749 6.589989346312625, 1.5370756919086357 6.589898467350153, 1.5370840085813928 6.589708447647544, 1.5369717334991737 6.5895638673902655, 1.537005000190203 6.589464726618067)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_64cf,Maritime,Zio,Zio 2,Bolou,Bolou Vavaty,N/a,Barrage paysan,"{eau potable,elevage}","MULTIPOLYGON (((1.1611022159920266 6.454441373003955, 1.1611603254165779 6.454504747379304, 1.1611206409315185 6.454585021576695, 1.1610412719613998 6.454585021576695, 1.160994500961151 6.4545343220850855, 1.1609902490520376 6.454451231240641, 1.1611022159920266 6.454441373003955)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_64d0,Maritime,Zio,Zio 2,Bolou,Bolou Vavaty,N/a,Barrage paysan,"{elevage,irrigation}","MULTIPOLYGON (((1.160422996858819 6.4546737990809335, 1.1602326729711199 6.454695620323933, 1.1602180326720661 6.45498293326905, 1.1603900561859481 6.455044760084027, 1.160529139026959 6.455008391370249, 1.1605510994755395 6.45481200027071, 1.160422996858819 6.4546737990809335)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_64d1,Maritime,Yoto,Yoto 2,Tchékpo,Dedekpoe,N/a,Mare naturelle,"{irrigation,elevage}","MULTIPOLYGON (((1.3384386131524695 6.539251718133344, 1.3383582645603742 6.539491195625364, 1.3381141284536233 6.539417510255424, 1.337854540694547 6.539168822051682, 1.3376907531798914 6.538880220771239, 1.337523875334771 6.538496442214664, 1.337400262116163 6.538213981008797, 1.337180848653134 6.538186348925738, 1.3370417837822 6.5379591517404725, 1.3370294224603394 6.537756516325963, 1.3371932099749948 6.53771353304566, 1.3373600878201155 6.537768797262514, 1.3375300559957013 6.537670549761662, 1.3376474885533787 6.537498616588713, 1.337777282432917 6.537338964303749, 1.337727837145474 6.5370595726823915, 1.3375949529354703 6.53690299049666, 1.3374898816996537 6.536721846338269, 1.3372673779061592 6.53663587959607, 1.3370912290696428 6.536365698310086, 1.337078867747782 6.536249029073284, 1.3371499453484814 6.536024901252526, 1.3373075522022067 6.535951215371706, 1.3375547786394224 6.53604639296572, 1.3377865534243123 6.5360617441888635, 1.3380090572178063 6.535874459234305, 1.3381666640715313 6.535512170106752, 1.3382315610113007 6.53521128571658, 1.338206838367579 6.53491654164866, 1.3382470126636266 6.534216523791246, 1.3383891678650255 6.533881865785228, 1.3385096907531684 6.533485802351223, 1.338614761988985 6.5331265817561945, 1.3388434464434098 6.532856398574598, 1.3390783115587648 6.532623058436713, 1.3393634400626064 6.532494250685482, 1.3394820017282105 6.532036779595828, 1.339418585023352 6.531801195518248, 1.3394075560312035 6.5314231650224475, 1.339448914751763 6.531069788431184, 1.3393358675822329 6.530606837325524, 1.3393496538224194 6.530217848491483, 1.3393000233577477 6.529880907214841, 1.339379983550829 6.529650800846799, 1.3396391648663364 6.529596013600723, 1.3398983461818432 6.529639843398064, 1.3400389658317462 6.5294754816382445, 1.3402485166825813 6.529456306096083, 1.3404332523010811 6.5296151891375285, 1.3406924336165875 6.529812423187788, 1.3408964699713484 6.529675455105576, 1.3412080389995638 6.529576838063178, 1.3413128144249813 6.529524790171855, 1.3413900173700262 6.529305641096404, 1.3416271407012343 6.5293138591884645, 1.3417705175991737 6.529634364673602, 1.3419938546901957 6.5297713327670595, 1.3422888802301869 6.529990481638633, 1.342415713639903 6.530316465407591, 1.3427741558847524 6.530319204766093, 1.343118811889415 6.530234284645514, 1.3433669642127726 6.530190454900224, 1.343653718008652 6.530261678234372, 1.3438541855413448 6.530811368316517, 1.3439400260335297 6.531240536507545, 1.3435495902464958 6.5313230688097805, 1.3431979211333525 6.5311937681969034, 1.3427964091537787 6.531229532199553, 1.3424308947999601 6.5310947294069965, 1.3421844495159458 6.531050712160749, 1.3420404590129265 6.5311827638878786, 1.3418383184990725 6.531466124768076, 1.3420404590129262 6.531592674235559, 1.3420293828203864 6.531834768779834, 1.3418853923173668 6.532142888939516, 1.3417303256218072 6.532214416806594, 1.3415891041669228 6.532076863206984, 1.341550337493033 6.531876034883652, 1.3413592731717188 6.531644944658441, 1.3411211350321095 6.531686210777912, 1.340725161148806 6.5318292666324, 1.3403928753726073 6.531840270927206, 1.3401353538960532 6.532005335320242, 1.3400522824520038 6.532208914663332, 1.3400301300669237 6.532676596624295, 1.3402128872438335 6.532770132964029, 1.3402322705807783 6.533328599569738, 1.3406753182823767 6.533394625137086, 1.3409300707107952 6.533031484408836, 1.34106021597314 6.532602317753813, 1.3415447993967629 6.532544545291373, 1.341835549450936 6.532602317753813, 1.34214845189019 6.53303698654305, 1.3423699757409895 6.533435891112257, 1.3425804233992487 6.533862305989676, 1.3421789114196756 6.534291471563821, 1.341979539953956 6.534783911095898, 1.3419103137505808 6.535086527327617, 1.3421899876122145 6.535097531550774, 1.3423395162115042 6.5349242150079165, 1.3424835067145233 6.535127793163212, 1.3427797948649676 6.535328620181164, 1.342724413902268 6.535655995558102, 1.3423145947782895 6.535757784497172, 1.3420183066278457 6.53546067077916, 1.3417109422848619 6.535653244505403, 1.341439575567633 6.5360879106434915, 1.341068523117544 6.536440044959357, 1.3403268302911335 6.537053080162231, 1.3394640241222007 6.537861640823852, 1.3390785149828903 6.538718835285194, 1.3390112038633282 6.539302456205018, 1.3384386131524695 6.539251718133344)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_64d2,Maritime,Zio,Zio 1,Abobo,Adodime,Pdrd,Retenue d'eau,"{irrigation,elevage}","MULTIPOLYGON (((1.3021166666666666 6.22338, 1.30174 6.222978333333333, 1.3028783333333334 6.221968333333333, 1.3032633333333334 6.222383333333332, 1.3021166666666666 6.22338)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_64d3,Maritime,Yoto,Yoto 3,Essé-Godjin,Afito,N/a,Retenue d'eau,{irrigation},"MULTIPOLYGON (((1.5962077476962877 6.759827623800309, 1.594419675815657 6.763089389410858, 1.5939920934094196 6.763803500837391, 1.5939920934094196 6.763803500837391, 1.5939920934094196 6.763803500837391, 1.5934673331835822 6.76364909845623, 1.5922428926566288 6.763938602880423, 1.5920679725813496 6.764363209055407, 1.5922428926566288 6.764614112528828, 1.591776439122551 6.765193120047003, 1.591776439122551 6.765193120047003, 1.5907269186708768 6.76374559995024, 1.5912322433327941 6.762471778677266, 1.5928648307020656 6.761217254444387, 1.592592732807187 6.760387336623597, 1.5921068437091896 6.7601943322749865, 1.5921457148370297 6.759615318766763, 1.592612168371107 6.758727496707149, 1.5914071634080735 6.7579554761995935, 1.5910961943853548 6.756469333252299, 1.5915432123555127 6.756507934425586, 1.5920874081452696 6.756913246559085, 1.5924566838597474 6.756816743700967, 1.5926121683711065 6.75656583617974, 1.5922623282205481 6.755600806038815, 1.5913099855884734 6.755774511606283, 1.5906103052873568 6.754288361957328, 1.5916015190472717 6.753690040679734, 1.5925927328071863 6.75191437317722, 1.5915237767915917 6.751084439392839, 1.5904742563399175 6.7519915762475975, 1.5904742563399175 6.7519915762475975, 1.5895219137078425 6.750370309183462, 1.5885890066396877 6.751084439392839, 1.588880540098486 6.751566959208102, 1.5885695710757675 6.751702064670171, 1.5881614242334499 6.751180943394374, 1.5865288368641783 6.750621219917627, 1.585595929796023 6.748768337584174, 1.587753277391132 6.747301467374667, 1.5892109446851244 6.747668185343619, 1.59012441618936 6.747552379699214, 1.5902993362646387 6.746838244280123, 1.5911545010771142 6.74786119468942, 1.5936811243867008 6.7486332313033035, 1.595022178297174 6.748324416805462, 1.5956052452147707 6.748729735793488, 1.5955858096508506 6.749849186473866, 1.5955858096508506 6.749849186473866, 1.597237832584042 6.7508914313320405, 1.5974127526593211 6.7516248615536085, 1.5980346907047582 6.752242486141273, 1.5994923579987508 6.751952974713949, 1.601124945368022 6.751451154496311, 1.6011832520597815 6.752242486141273, 1.5995895358183498 6.753632138581345, 1.599783891457549 6.7555622047931285, 1.6000754249163476 6.75608332134997, 1.5989092910811538 6.758109880399721, 1.5992785667956317 6.758823999183914, 1.59964784251011 6.761468159551507, 1.5989675977729136 6.761796266033492, 1.5984234019831565 6.761352357210561, 1.5975876727346012 6.7622787751611195, 1.5971989614562028 6.76430530823534, 1.596538152282926 6.763610497853227, 1.596421538899407 6.762413877630515, 1.5962077476962877 6.759827623800309)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_64d4,Maritime,Yoto,Yoto 3,Sendome,Drekpon,N/a,Mare naturelle,{autre},"MULTIPOLYGON (((1.5981033764214263 6.774573567303039, 1.599076926237176 6.774674571279482, 1.5999342312988063 6.77442927587143, 1.600893250520291 6.772322616054694, 1.6010676176514702 6.771124990276872, 1.6002684349668996 6.770215947039558, 1.6000359454586606 6.770807546801274, 1.5999342312988063 6.7700716543047434, 1.5979290092902476 6.768989457418648, 1.5966939087777297 6.769667634417766, 1.5973477855196503 6.770403527530328, 1.5982341517698102 6.770634395726571, 1.598844436728937 6.771673301242871, 1.5986555390034936 6.773549097203897, 1.5981033764214263 6.774155122032452, 1.5981033764214263 6.774573567303039)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_64d5,Maritime,Yoto,Yoto 3,Sendome,Drekpon,N/a,Mare naturelle,{irrigation},"MULTIPOLYGON (((1.6048913689669795 6.776977111354043, 1.60451929401442 6.774491544061154, 1.6033015941696793 6.774424366388958, 1.6019993318357204 6.775381647334408, 1.6013904819133502 6.775683946185575, 1.6019824193378769 6.776254954609628, 1.603081731697712 6.775952656116416, 1.6045362065122633 6.7767755793481275, 1.604908281464823 6.77650686987587, 1.6048913689669795 6.776977111354043)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_64d6,Maritime,Yoto,Yoto 3,Essé-Godjin,Esse-ana,N/a,Retenue d'eau,"{elevage,irrigation}","MULTIPOLYGON (((1.5809480066755905 6.697780795162961, 1.5808482463602003 6.697789121168603, 1.580796094687983 6.6975764691950515, 1.580796094687983 6.697524921547736, 1.5808373660341217 6.69749697402583, 1.5808404926512536 6.6974535000996855, 1.580806725186231 6.697393257652768, 1.580759825929255 6.697405678776452, 1.580728559757938 6.69740195243938, 1.580692916322636 6.697412510394342, 1.5806722806495668 6.697425552573688, 1.5806578982107609 6.697413752506678, 1.5806666527387299 6.697352267942363, 1.5806847871180938 6.697239856749193, 1.5806829111478147 6.697116266512451, 1.580696042939768 6.6970373923249, 1.580689164382078 6.69697218137281, 1.58068675739209 6.696854875045915, 1.580695434086123 6.69682173083939, 1.5807187944162107 6.696838302942935, 1.5807161246642003 6.696782620672795, 1.5807308083002558 6.69676538568313, 1.5807521663163357 6.696748813577108, 1.5807728568944128 6.696734230123345, 1.5807604217453584 6.696721112970654, 1.580785264171666 6.696698281299391, 1.5807790786028477 6.696623661439012, 1.5807510808766836 6.6965680480111995, 1.580797194778601 6.696509163198372, 1.5808383679053133 6.69645682113656, 1.580828486354902 6.696381579412871, 1.5808894225824361 6.69633578009712, 1.580933889559285 6.696304701987554, 1.581006354262298 6.696373400963944, 1.581060702789558 6.696476449410398, 1.581208926045721 6.6964666352735795, 1.5814098509040753 6.696442099930666, 1.5815580741602382 6.696443735620231, 1.5816601835144837 6.6964159288968625, 1.5817293543673603 6.696365222514882, 1.5817869967447573 6.696288345086987, 1.5818578145227018 6.69627362387601, 1.581856167597633 6.69624418145272, 1.5819352200009202 6.696260538354767, 1.5820060377788647 6.696288345086987, 1.582075208631741 6.696309609057615, 1.5820949717325625 6.69639793631031, 1.5822366072884522 6.696273623876007, 1.5822596642394107 6.696211467646979, 1.5822053157121507 6.696114961907276, 1.5823222473920127 6.696090426546684, 1.582406240570505 6.696114961907276, 1.5825643453770788 6.696093697928167, 1.5825561107517367 6.696270352495729, 1.5825116437748878 6.696365222514879, 1.5824869398988604 6.696435557172344, 1.582412828270779 6.696505891819672, 1.582358479743519 6.696530427159377, 1.5823831836195466 6.696587676280562, 1.5823716551440667 6.696618754372105, 1.5822909558157117 6.696680910549255, 1.582197081086808 6.6967332525870304, 1.58218390568626 6.696806858568154, 1.5821740241358495 6.69687065040948, 1.5822184911126986 6.696955706184939, 1.5822893088906431 6.696991691316248, 1.5823897713198198 6.697065297258389, 1.5825083499247508 6.69705711882092, 1.5825972838784486 6.697101282381614, 1.5825544638266678 6.697243587161103, 1.582523172250367 6.697263215403295, 1.582516584550093 6.697331914244741, 1.582434238296669 6.697384256212687, 1.582427650596395 6.697469311898616, 1.5824638829479016 6.69752492522371, 1.5823930651699567 6.697567453056268, 1.5823403635677658 6.697642694597099, 1.582269545789821 6.697680315363162, 1.5822481357639309 6.697719571811613, 1.5821789649110545 6.697755556886588, 1.5821097940581783 6.6977702780528565, 1.5820785024818773 6.697840612507791, 1.582098265582699 6.697932210852507, 1.5821262633088633 6.69797637433399, 1.5820702678565348 6.6980139950743265, 1.5820076847039326 6.698012359390024, 1.5819220446003721 6.698035258969752, 1.581824876021332 6.698035258969752, 1.581726060517223 6.698045073075022, 1.5816799466153058 6.698063065600836, 1.581615716537635 6.697981281387243, 1.5815267825839374 6.697958381804979, 1.5814625525062667 6.69797637433399, 1.5813011538495558 6.697978010018414, 1.5811726936942143 6.697928939483347, 1.581106816691475 6.6979371179062, 1.581021176587914 6.697910946952589, 1.5809981196369554 6.697879868943346, 1.5809552995851748 6.697889683051741, 1.5809480066755905 6.697780795162961)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_64d7,Plateaux,Agou,Agou 2,Amoussou-Kopé,Glekope,Nsp,Retenue d'eau,"{irrigation,elevage}","MULTIPOLYGON (((0.8240820967991953 6.702030169462029, 0.8245107155355713 6.702292761968504, 0.8240448256047278 6.703012773679808, 0.8236534780628192 6.702772205060973, 0.8240820967991953 6.702030169462029)))"
