FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,village,barrage_nom_officiel,barrage_type,barrage_utilisation,geometry
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6438,Plateaux,Haho,Haho 3,Kpédomé,Agbatitoe,Nsp,Retenue d'eau,{irrigation},"MULTIPOLYGON (((1.1542552940549708 7.093025172631249, 1.1544567525731355 7.093037023132317, 1.1545491864814699 7.092890076919066, 1.154516005078478 7.092506120684447, 1.154333507362023 7.092520341285729, 1.1542315930528335 7.092690988501116, 1.1541699704472772 7.0929943613284685, 1.1542552940549708 7.093025172631249)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6439,Maritime,Avé,Avé 1,Kévé,Yometchin,N/a,Barrage paysan,"{elevage,irrigation}","MULTIPOLYGON (((1.0209691899773363 6.496063961217753, 1.0208557868044301 6.495930360744954, 1.0208525467137757 6.495850683337666, 1.0209367890707917 6.495747666065098, 1.020950559456073 6.4957283503241445, 1.0209643298413544 6.495659135579635, 1.020987010475936 6.4956840850816615, 1.0209934906572449 6.4957283503241445, 1.0210299416771074 6.4956929381304676, 1.0210526223116887 6.495730764791803, 1.0210461421303796 6.495771810740248, 1.021068822764961 6.495793540946893, 1.0210996036261784 6.495771005917763, 1.0211854660285216 6.495911849833275, 1.0210736829009424 6.496016476716422, 1.0209725182104297 6.4960564047688285, 1.0209691899773363 6.496063961217753)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_643a,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Kpotave,Mare de Kpotavé,Mare artificielle,{irrigation},"MULTIPOLYGON (((1.2282642581512349 6.295575438422623, 1.2282894118630898 6.295579984244521, 1.2283282857814104 6.295598167531715, 1.2283580128954206 6.295609532085887, 1.2284494809385287 6.295666354853018, 1.2285318021773262 6.295716358882952, 1.2286049766118123 6.295750452536963, 1.22866671754091 6.295789092008806, 1.2287261717689302 6.2958186398382745, 1.2287467520786295 6.295857279305043, 1.2287627589861734 6.295918647864, 1.228749038779707 6.295977743506513, 1.2287124515624637 6.2960482036868735, 1.2286621441387546 6.2961368471260055, 1.2285889697042678 6.296248219630646, 1.2285157952697816 6.296298223604554, 1.2284632011449947 6.2963300443127155, 1.228431187329907 6.296370956648913, 1.228399173514819 6.296409596074586, 1.2283671596997308 6.296450508404515, 1.2283374325857213 6.296466418754174, 1.2282779783577011 6.296468691661227, 1.2282162374286032 6.296464145847109, 1.228161356602738 6.296450508404517, 1.2281041890757958 6.296400504445275, 1.2280470215488533 6.296343681758472, 1.2280218678369983 6.296302769420127, 1.2279796925448854 6.296220488093044, 1.2279367333314808 6.296163554634358, 1.2279248002166463 6.296137460130376, 1.2279176403477456 6.296111365625079, 1.2279128671018118 6.296085271118474, 1.2279104804788448 6.296059176610556, 1.2279128671018118 6.296002243134188, 1.2279653728070838 6.295909726221771, 1.2281133434310323 6.295729436806634, 1.2282642581512349 6.295575438422623)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_643b,Maritime,Avé,Avé 1,Ando,Adekpui,Nsp,Retenue d'eau,{elevage},"MULTIPOLYGON (((0.8063511454681727 6.4778890414341195, 0.8062834609413859 6.477738608427917, 0.8063475831246577 6.477666931509188, 0.8064731557335648 6.477781968534307, 0.806361832498718 6.477881962234836, 0.8063511454681727 6.4778890414341195)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_643c,Kara,Doufelgou,Doufelgou 3,Tchoré,Tchore,Retenue Emlemou,Retenue d'eau,{autre},"MULTIPOLYGON (((1.0067066666666666 9.843353333333333, 1.0060499999999999 9.843539999999999, 1.0058933333333333 9.84323, 1.0064083333333333 9.842911666666668, 1.00644 9.842899999999998, 1.0067066666666666 9.843353333333333)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_643d,Maritime,Avé,Avé 1,Ando,Agbadzanake,Nsp,Retenue d'eau,{elevage},"MULTIPOLYGON (((0.8145614085387226 6.475697843430904, 0.8137000428999338 6.4751390520050665, 0.8140470807089496 6.47460501658336, 0.8149760742284696 6.475423752777167, 0.8145614085387226 6.475697843430904)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_643e,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Legbassito,N/a,Mare naturelle,{elevage},"MULTIPOLYGON (((1.1528333976852192 6.252372262458324, 1.1532614209379735 6.252221788758248, 1.153115266656545 6.251905274971945, 1.1526611444249644 6.251526495926723, 1.152358396270577 6.251505740902619, 1.152154824235731 6.251827443683675, 1.1523844952494038 6.25210763626724, 1.1528333976852192 6.252372262458324)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_643f,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Legbassito,N/a,Mare naturelle,{autre},"MULTIPOLYGON (((1.1452003676584068 6.264135212679876, 1.1457182445441811 6.263331034605701, 1.1452479563452074 6.262974858453815, 1.1449820195660256 6.263236425339058, 1.1447020861142556 6.263781819699521, 1.1452003676584068 6.264135212679876)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6440,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Elavagno Atchavé,Barrage de Atchavé 1,Bassins de retentions d eau,{autre},"MULTIPOLYGON (((1.1761543955741962 6.210775973072985, 1.176548882929122 6.210705678093546, 1.1763665255669393 6.209814040960926, 1.175698502168739 6.209980529336846, 1.1758045671651107 6.210463345329327, 1.1761022934707153 6.210428197819911, 1.1761543955741962 6.210775973072985)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6441,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Avinato,Nsp,Autre,{autre},"MULTIPOLYGON (((1.1270654875671275 6.267012686047363, 1.1270045124328725 6.267181530238125, 1.1269783802324773 6.267244305628451, 1.1269435372986172 6.267333057029467, 1.1268999836312918 6.267408820408636, 1.126891272897827 6.267478089774244, 1.1268237647134731 6.267475925106705, 1.1267584342124854 6.267471595771607, 1.126701814444963 6.267452113763217, 1.1266647938277365 6.267430467086375, 1.1266691491944691 6.267369856386435, 1.1266952813948643 6.26730708101122, 1.1267127028617943 6.267242140959944, 1.1267235912786253 6.267168542225395, 1.1267606118958515 6.267094943480462, 1.1267867440962467 6.26700186269994, 1.1268172316633742 6.266958569307993, 1.1269566033988143 6.266971557325957, 1.1269566033988143 6.266971557325957, 1.1270654875671275 6.267012686047363)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6442,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Elavagno Atchavé,Barrage de Atchavé 2,Bassins de retentions d eau,{autre},"MULTIPOLYGON (((1.176838213158316 6.210648699490962, 1.1766701634733623 6.20983229479214, 1.1774660214153116 6.209677839706727, 1.1776911445781746 6.209970989115944, 1.176838213158316 6.210648699490962)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6443,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Legbassito,N/a,Mare naturelle,{elevage},"MULTIPOLYGON (((1.166315506584396 6.282721090148699, 1.1664320744607557 6.282731918912145, 1.1665628047893835 6.282715675766892, 1.1666259911148866 6.2825770675734445, 1.1666728361493117 6.282451453866248, 1.1666673890522856 6.282382149738952, 1.1665693413058147 6.282396227140555, 1.166514870335553 6.282373486722392, 1.1664832771728013 6.2823442490404355, 1.1664353427189713 6.2823366689004, 1.166372156393468 6.2823442490404355, 1.166346010327742 6.282351829180359, 1.166330758456069 6.282416801803751, 1.1662969864545072 6.282482857295887, 1.166274108646997 6.282581399080047, 1.1662708403887816 6.282662614822198, 1.166315506584396 6.282721090148699)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6444,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Togblekope,N/a,Mare naturelle,{autre},"MULTIPOLYGON (((1.160319248896721 6.278259492415037, 1.1606473964988886 6.278338981541567, 1.1608983329005462 6.277925089749862, 1.1606556691275147 6.277790780422266, 1.160490216554993 6.277752406322305, 1.1603964600972307 6.2778675286137045, 1.1603164913538457 6.278059399042823, 1.160319248896721 6.278259492415037)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6445,Centrale,Blitta,Blitta 1,Blitta,Sondoukope,Etang A1,Citerne,{autre},"MULTIPOLYGON (((0.967029646842658 8.32242966187755, 0.9671216666666665 8.322073046153067, 0.9671216666666665 8.322073046153067, 0.9674207310946943 8.322164097007205, 0.9673363795893533 8.322520712648789, 0.967029646842658 8.32242966187755)))"
_mview_general_retenues_eau_collinaires.fid-7111a9c0_193e574b72f_6446,Kara,Bassar,Bassar 4,Sanda-Afohou,Afohou,Nsp,Mare artificielle,{elevage},"MULTIPOLYGON (((0.9546331429198811 9.466993137841353, 0.9543695401291834 9.467022948208411, 0.9544215890878561 9.467236589096652, 0.9546650438945516 9.467203466487021, 0.9546331429198811 9.466993137841353)))"
